cidade,target,MAE,RMSE,R
Touba,dhi_rsi,147.5880889892578,172.39319043794913,0.009739268519400972
Touba,ghi_pyr,261.0376892089844,318.01192735100364,0.1280248378524773
Touba,ghi_sil,269.3063049316406,315.76392981941433,0.04956745752356366
Fatick,dhi_rsi,144.1090545654297,167.04894960010972,0.005956224573771105
Fatick,ghi_pyr,227.66529846191406,284.33317000044156,0.40195178369378887
Fatick,ghi_sil,169.88534545898438,231.77048689112684,0.6233794464805559
SA Northern Cape,GSR,248.4196014404297,298.4752790224008,0.8724368532410299
CAR Vakaga,GSR,207.75660705566406,249.46409749200384,0.738233041388139
Egypt Mut,GSR,215.1880645751953,247.4010929265471,0.8518604788078593
Algeria Tamanrasset,GSR,93.59068298339844,147.1500814963247,0.7712331405464297
Nigeria Borno,DSR,73.04012298583984,84.00172349887382,0.8521663837646439
